date,department,type,category,amount
2024-01-10,Sales,Income,Product Sales,114144.59
2024-01-15,Sales,Spending,Travel & Commission,156563.91
2024-01-10,Marketing,Income,Sponsorship,171784.02
2024-01-15,Marketing,Spending,Ad Campaign,110658.54
2024-01-10,HR,Income,Training Refund,78908.01
2024-01-15,HR,Spending,Salaries & Benefits,52938.56
2024-01-10,Operations,Income,Service Revenue,63115.98
2024-01-15,Operations,Spending,Utilities & Supplies,145540.78
2024-01-10,IT,Income,License Resale,150679.8
2024-01-15,IT,Spending,Software & Hardware,124925.29
2024-01-10,Finance,Income,Investment Return,57069.25
2024-01-15,Finance,Spending,Audit & Compliance,159066.86
2024-02-10,Sales,Income,Product Sales,197582.21
2024-02-15,Sales,Spending,Travel & Commission,58254.73
2024-02-10,Marketing,Income,Sponsorship,87311.9
2024-02-15,Marketing,Spending,Ad Campaign,54608.97
2024-02-10,HR,Income,Training Refund,108059.86
2024-02-15,HR,Spending,Salaries & Benefits,97619.31
2024-02-10,Operations,Income,Service Revenue,129703.64
2024-02-15,Operations,Spending,Utilities & Supplies,68194.87
2024-02-10,IT,Income,License Resale,160195.43
2024-02-15,IT,Spending,Software & Hardware,49076.23
2024-02-10,Finance,Income,Investment Return,106009.49
2024-02-15,Finance,Spending,Audit & Compliance,77661.59
2024-03-10,Sales,Income,Product Sales,136172.07
2024-03-15,Sales,Spending,Travel & Commission,124221.12
2024-03-10,Marketing,Income,Sponsorship,91943.73
2024-03-15,Marketing,Spending,Ad Campaign,91708.13
2024-03-10,HR,Income,Training Refund,159691.51
2024-03-15,HR,Spending,Salaries & Benefits,35574.05
2024-03-10,Operations,Income,Service Revenue,162301.49
2024-03-15,Operations,Spending,Utilities & Supplies,50462.89
2024-03-10,IT,Income,License Resale,68721.4
2024-03-15,IT,Spending,Software & Hardware,143866.26
2024-03-10,Finance,Income,Investment Return,224071.53
2024-03-15,Finance,Spending,Audit & Compliance,127007.68
2024-04-10,Sales,Income,Product Sales,108122.83
2024-04-15,Sales,Spending,Travel & Commission,39634.62
2024-04-10,Marketing,Income,Sponsorship,172462.82
2024-04-15,Marketing,Spending,Ad Campaign,78677.38
2024-04-10,HR,Income,Training Refund,77178.91
2024-04-15,HR,Spending,Salaries & Benefits,84950.17
2024-04-10,Operations,Income,Service Revenue,62323.55
2024-04-15,Operations,Spending,Utilities & Supplies,132162.53
2024-04-10,IT,Income,License Resale,100354.66
2024-04-15,IT,Spending,Software & Hardware,104027.54
2024-04-10,Finance,Income,Investment Return,109325.72
2024-04-15,Finance,Spending,Audit & Compliance,87787.75
2024-05-10,Sales,Income,Product Sales,141907.03
2024-05-15,Sales,Spending,Travel & Commission,47663.39
2024-05-10,Marketing,Income,Sponsorship,210095.52
